comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,,type
LPG Shortage ❌ Diet Coke Shortage ✅,,bhai_posting,https://www.instagram.com/p/DXXEZBTEwgB/,96,Fr,21813,2026-04-20T16:38:51.000Z,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"BIG PRICE HIKE ALERT!
Commercial LPG cylinder prices have been hiked by ₹993 in the latest revision — a massive jump that will directly hit restaurants, dhabas, hotels, and small food businesses across India.
Meanwhile, domestic LPG cylinders remain unchanged, giving household consumers a temporary sigh of relief.
📊 What The Numbers Say:
• Commercial cylinder price up by ₹993
• Domestic cylinder — No change
• Businesses using bulk gas will feel the heat immediately
• Food & hospitality sector faces rising operational costs
This hike comes at a time when small businesses are already struggling with inflation and thin margins. For the average dhaba owner or street food vendor — this is a direct hit to the pocket.",indians ™️,whatindians,https://www.instagram.com/p/DXyn7PhkVUh/,0,,0,2026-05-01T09:28:19.000Z,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"19-Kg Commercial LPG Cylinder Price Hiked By Rs 993, Domestic Rates Unchanged

👉 Delhi Rate Now At Rs 3,071.50

⚠️Disclaimer: This Post Is For Information And Educational Purposes Only. Based On Publicly Available Market Data And News Reports.

Follow @stockbullupdates For Daily SM News 🗞️ 

Please - Like | Share | Follow 

Disclaimer: This Post Is For Information And Educational Purposes. We Are Not SEBI Registered Financial Advisor. Please Consult Your Financial Advisor Before Making Any Finance Related Decisions.

Disclaimer: NO COPYRIGHT INFRINGEMENT INTENDED

We Do Not Own The Rights To This Video Or Photo Used In This Reel Or Post. All Credit Goes To The Original Creator. This Video Or Post Is Shared For Informational Purposes Only.

If You Are The Owner And Wish To Discuss This Content Please DM Or Mail Us.

FAIR USE: Copyright Disclaimer Under Section 107 Of The Copyright Act 1976. Allowance Is Made For “Fair Use” For Purposes Such As Criticism, Comment, News Reporting, Teaching, Scholarship Infringing. We Do Not Own All The Material.

[ LPG Cylinder, 19-Kg Commercial LPG Cylinder, Cylinder Prices Hiked Again, Commercial Cylinder Price Hiked By Rs 993, LPG, Cylinder ]

#CommercialLPGCylinder #LPG #Cylinder #Viral #StockMarket",Pratyush Kumar,stockbullupdates,https://www.instagram.com/p/DXx082IAa0U/,1,993 19kg pe mtlb 14.5kg wale pe 400 loura ka sarkar hi,-1,2026-05-01T02:03:54.000Z,,CommercialLPGCylinder,LPG,Cylinder,Viral,StockMarket,,,,,,,,,,,,,,,,,,Instagram
"Prices of commercial 19-kg LPG cylinders have been increased by ₹993, taking the price of a cylinder in #Delhi to ₹3,071.50. Retail prices of #petrol, #diesel and domestic LPG cylinders have been kept unchanged. 

Check the city-wise prices of 19-kg commercial LPG cylinder 

More on BusinessToday.in

#LPG #lpgcylinder #lpgpricehike #mumbai #kolkata #chennai #gurugram #noida #bengaluru #hyderabad",Business Today,business_today,https://www.instagram.com/p/DXyQJgHnddK/,60,Ekdm sahi kiya Modiji ne.........My full support to Modiji for this Masterstroke!,1850,2026-05-01T05:59:54.000Z,,Delhi,"petrol,",diesel,LPG,lpgcylinder,lpgpricehike,mumbai,kolkata,chennai,gurugram,noida,bengaluru,hyderabad,,,,,,,,,,Instagram
"The price of 19 kg commercial LPG cylinders has been increased by Rs 993 from today, leading to a new retail price of Rs 3,071.50 per cylinder. The revision comes into effect immediately and applies to commercial users across the country, affecting businesses that rely heavily on LPG for daily operations.

The sharp increase is expected to impact sectors such as hotels, restaurants, food delivery services, and small commercial establishments. Higher fuel costs may lead to increased operational expenses, which could eventually be passed on to consumers. Businesses dependent on bulk LPG consumption are likely to reassess their budgets following the latest revision in prices.

However, domestic LPG cylinder prices remain unchanged, providing relief to household consumers. The adjustment in commercial cylinder rates is part of periodic revisions linked to global fuel price movements and supply dynamics.

Don't forget to Follow @mewsinsta for latest news bites and updates ❤️",Mews.in,mewsinsta,https://www.instagram.com/p/DXyaakxjQYw/,97,😂,1969,2026-05-01T07:29:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"🚨 BIG BREAKING NEWS 🚨

Commercial LPG users hit with a massive price shock! 💥

Starting today, the price of a 19 kg commercial gas cylinder has been increased by a steep ₹993 😳📈

👉 This hike directly impacts restaurants, hotels, and small businesses — and could soon reflect in food prices too 🍽️

🟢 Relief for households:
There is no change in domestic LPG cylinder prices as of now.

⚠️ Stay alert — this move could have a ripple effect on everyday expenses.

What do you think about this sudden hike? Fair or too much? Drop your thoughts below 👇🔥",The Loverspoint69,theloverspoint.69,https://www.instagram.com/p/DXyaM7iGaLd/,40,Sher Paala Hai Kro Ab Kharcha 😂😂 Jldi Domestic Wale Ka V Kahani Ayega,698,2026-05-01T07:27:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"The price of 19 kg commercial LPG cylinders has seen a steep increase of Rs 993, pushing the cost to Rs 3,071.50 in Delhi from today, according to sources. Domestic LPG cylinder prices, however, remain unchanged, offering relief to household consumers. Meanwhile, aviation turbine fuel (ATF) prices have been kept steady, with state-owned oil companies choosing to absorb rising global fuel costs to shield airlines and passengers from additional financial strain.

#TheSentinel #LPG #ATF",The Sentinel,thesentineldigital,https://www.instagram.com/p/DXyG1rYGCdq/,0,,12,2026-05-01T04:38:33.000Z,,TheSentinel,LPG,ATF,,,,,,,,,,,,,,,,,,,,Instagram
"The price of a 19 kg commercial LPG cylinder has been raised by ₹993 with effect from May 1, marking a significant increase in cooking fuel costs for businesses. Following the hike, the price in Delhi now stands at ₹3,071.50, up from ₹2,078.50 earlier.
 
In Mumbai, commercial LPG cylinder prices have also surged, rising from ₹2,031 to ₹3,024. Meanwhile, prices of domestic LPG cylinders remain unchanged, according to news agency ANI.
 
This latest revision marks the third increase in the price of commercial LPG cylinders since February 28, when the Iran war began. Prices were first raised by ₹144 in March, followed by another hike of nearly ₹200 on April 1, before the steep increase announced now.

#lpg #westasiaconflict #lpgcylinder #lpgpricehike #cookinggas #india",Business Standard,business.standard,https://www.instagram.com/p/DXx5LCykatc/,19,Thoda jor se Jai Shree Ram bol denge aur kya 😂😂😂😂,249,2026-05-01T02:39:08.000Z,,lpg,westasiaconflict,lpgcylinder,lpgpricehike,cookinggas,india,,,,,,,,,,,,,,,,,Instagram
"Commercial LPG cylinder prices have been increased by Rs 993, with the revision coming into effect from May 1, just two days after the final phase of the five-state Assembly elections concluded in West Bengal on April 29. The price of a 19-kg commercial cylinder in Delhi now stands at Rs 3,071.50.

Domestic LPG prices and aviation turbine fuel (ATF) for local airlines remain unchanged. However, ATF prices for international carriers have been raised by 5 per cent, in line with global benchmarks. Retail prices of petrol and diesel have also been kept steady. 

The price revisions have largely been limited to commercial LPG, bulk diesel, and fuel for international airline operations, segments that account for a relatively smaller share of overall consumption.

Click on the 🔗 in our bio to read the full article.",The Indian Express,indianexpress,https://www.instagram.com/p/DXyhEg5DQwY/,18,"Election khatam, dharama khatam, apni jaib baroo😂😂😂",504,2026-05-01T08:27:46.000Z,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"Donald Trump Vs LPG 🤣
.
.
#donaldtrump #gescylinder #LPG #funnyvideo #instgramreels",Lucky Laxmangarhiya,lucky_laxmangarhiya,https://www.instagram.com/p/DWIfpJTCW0Y/,4455,😂😂😂,431052,2026-03-21T04:30:12.000Z,,donaldtrump,gescylinder,LPG,funnyvideo,instgramreels,,,,,,,,,,,,,,,,,,Instagram
