comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,,type
,,,https://www.instagram.com/explore/tags/argiculturalcrisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"A critical chokepoint faces mounting pressure as military presence and geopolitical friction increase.

#BreakingNews #Iran #USA #Hormuz #OilPrices",OPTION MASTER™,optionmaster04,https://www.instagram.com/p/DX6V01KEyK5/,0,,0,2026-05-04T09:23:25.000Z,,BreakingNews,Iran,USA,Hormuz,OilPrices,,,,,,,,,,,,,,,,,,,,Instagram
"China has refused to comply with US sanctions targeting five firms accused of buying Iranian oil, calling the measures illegal and against international norms. Beijing said its companies will continue lawful trade despite pressure from Washington. The US aims to curb Iran’s oil revenue, but China remains a major buyer through independent refineries. Tensions rise as diplomatic talks between the US and Iran remain stalled, with new sanctions adding strain to global energy markets and China-US relations.

#China #Iran #USSanctions #OilTrade #BreakingNews #GlobalPolitics #EnergyCrisis #Tehran #Beijing

Disclaimer: This content is for informational purposes only and based on reported news sources.",Apna Watan Tv,apnawatan.tv,https://www.instagram.com/p/DX6V0v6jODw/,0,,0,2026-05-04T09:23:25.000Z,,China,Iran,USSanctions,OilTrade,BreakingNews,GlobalPolitics,EnergyCrisis,Tehran,Beijing,,,,,,,,,,,,,,,,Instagram
"Harga Minyak Brent Melonjak ke US$119/barel akibat kebuntuan negosiasi AS-Iran& Blokade Selat Hormuz ⛽️🔥

#ekonomi #geopolitics #beritaterkini #amerika #iran",Academy Trading House (ATH),academytrading_id,https://www.instagram.com/p/DX6VoNIkWPP/,0,,1,2026-05-04T09:21:42.000Z,,ekonomi,geopolitics,beritaterkini,amerika,iran,,,,,,,,,,,,,,,,,,,,Instagram
"An underground network is working to bring satellite internet devices into Iran, where internet access has remained heavily restricted for more than two months.

The country is facing one of the longest-running national internet shutdowns recorded globally. As a result, activists and individuals have turned to alternative methods to restore connectivity.

One individual, identified as Sahand for safety reasons, told BBC that he has been involved in secretly transporting Starlink terminals into Iran.

He said he has sent around a dozen devices into the country since January and is continuing efforts to move more.

Sahand also expressed concern about the risks, noting that being identified could lead to consequences for contacts inside Iran.

Human rights group Witness estimated in January that at least 50,000 Starlink terminals were already in Iran.

Activists believe the number has likely increased since then.

The Iranian government passed a law last year that makes the use, purchase, or sale of Starlink devices punishable by up to 2 years in prison. Distributing or importing more than 10 devices can lead to prison sentences of up to 10 years.

State-affiliated media have reported several arrests linked to the sale and import of satellite internet equipment, including four individuals detained last month.

The BBC said it contacted SpaceX for comment on the use of Starlink in Iran but did not receive a response.

#Starlink #Iran #Internet",ProPakistani,pro_pakistani,https://www.instagram.com/p/DX6VhhflXGJ/,0,,1,2026-05-04T09:20:51.000Z,,Starlink,Iran,Internet,,,,,,,,,,,,,,,,,,,,,,Instagram
"A striking natural stone with bold green tones and artistic patterns that make every slab unique. Perfect for luxury interiors, countertops, feature walls, and architectural projects.

Available now at Green Granite Group.

High‑quality blocks and slabs ready for your orders.

Contact us for more information.

🌐 www.green-granite.com
📧 sales@green-granite.com
📱 +98 919 3100780
📲 WeChat : wxid_g1v15m0m9gbc12

#green #green_granite_slab_stone #Iran #China #StoneIndustry",Green Granite Group®,green.granite,https://www.instagram.com/p/DX6VeNxDL2E/,0,,0,2026-05-04T09:20:23.000Z,,green,green_granite_slab_stone,Iran,China,StoneIndustry,,,,,,,,,,,,,,,,,,,,Instagram
"Mertz, chancelier allemand : les dirigeants iraniens sont en train d’humilier les États-Unis

Politico : Trump est en colère et veut humilier l’Europe

#Iran #Europe #Allemagne 
#États_Unis",IranRadio French,iranradiofr,https://www.instagram.com/p/DX6VbenjDKl/,1,,0,2026-05-04T09:19:58.000Z,,Iran,Europe,Allemagne,États_Unis,,,,,,,,,,,,,,,,,,,,,Instagram
"Iran reviews US response as tensions persist over peace proposal

Iran confirmed Sunday that it received a US response to its latest peace proposal and has begun reviewing the document, according to state media. However, neither Washington nor Islamabad immediately confirmed the communication, reportedly delivered through Pakistan.

CLICK HERE: https://thetruthinternational.com/iran-reviews-us-response-as-tensions-persist-over-peace-proposal/

#Iran #reviews #US #response #tensions #persist #peace #proposal #Islamabad #TTI",The Truth International,ttimagazinepk,https://www.instagram.com/p/DX6VYooguFb/,0,,0,2026-05-04T09:19:35.000Z,,Iran,reviews,US,response,tensions,persist,peace,proposal,Islamabad,TTI,,,,,,,,,,,,,,,Instagram
"#สงครามอิหร่าน ตลอดช่วงความขัดแย้งระหว่างสหรัฐฯ กับอิหร่านที่เริ่มต้นขึ้นในเดือนกุมภาพันธ์ 2026 โดนัลด์ ทรัมป์ ออกแถลงการณ์ที่ขัดแย้งกันอย่างต่อเนื่อง ทั้งประกาศชัยชนะ ขู่โจมตีซ้ำ และเรียกร้องการเจรจาภายในช่วงเวลาเพียงไม่กี่วัน จนไม่มีใครสามารถคาดเดาทิศทางที่แท้จริงของนโยบายสหรัฐฯ ได้

เมื่อวันที่ 2 พฤษภาคม ทรัมป์ปฏิเสธต่อหน้ากล้องว่าตนไม่เคยพูดว่าสหรัฐฯ ควรถอนตัวออกจากการเจรจากับอิหร่าน ทั้งที่มีบันทึกภาพการกล่าวประโยคดังกล่าวในคืนก่อนหน้า รูปแบบนี้ไม่ได้เกิดขึ้นเป็นครั้งแรก

นับตั้งแต่กองทัพสหรัฐฯ เปิดปฏิบัติการโจมตีโรงงานนิวเคลียร์อิหร่าน 3 แห่งเมื่อวันที่ 22 มิถุนายน 2025 ทรัมป์ประกาศผ่าน Truth Social ว่าเป็น ""การทำลายล้างอย่างสมบูรณ์"" แต่ IAEA ชี้ว่าปฏิบัติการดังกล่าวทำลายได้เพียงหนึ่งในสามของโรงงานนิวเคลียร์อิหร่านเท่านั้น ขณะที่ในสุนทรพจน์ State of the Union เมื่อ 24 กุมภาพันธ์ 2026 ทรัมป์กลับอ้างว่าอิหร่านเริ่มโครงการนิวเคลียร์ใหม่อีกครั้ง ซึ่งขัดแย้งกับคำแถลงของตนเองก่อนหน้านี้

สำหรับผลกระทบทางเศรษฐกิจ ความขัดแย้งครั้งนี้ถือเป็นการหยุดชะงักของอุปทานน้ำมันครั้งใหญ่ที่สุดนับตั้งแต่วิกฤตพลังงานในทศวรรษ 1970 ขณะที่สงครามที่ทรัมป์บรรยายว่า ""เสร็จในชั่วโมงแรก"" ยังคงดำเนินต่อเนื่องมาจนถึงปัจจุบัน

#สหรัฐ #โดนัลด์ทรัมป์ #อิหร่าน #ตะวันออกกลาง #สงคราม #สงครามอิหร่าน #ช่องแคบฮอร์มุซ #Iran #OperationEpicFury #WORLD #SPACEBAR",SPACEBAR,spacebarmediath,https://www.instagram.com/p/DX6VUqqkj9f/,0,,0,2026-05-04T09:19:07.000Z,,สงครามอิหร่าน,สหรัฐ,โดนัลด์ทรัมป์,อิหร่าน,ตะวันออกกลาง,สงคราม,ช่องแคบฮอร์มุซ,Iran,OperationEpicFury,WORLD,SPACEBAR,,,,,,,,,,,,,,Instagram
"- 🇮🇷🌙 -

#iran #for_iran #ایران_امام_رضا #ایران #ایرانم",فامی .,fami_art,https://www.instagram.com/p/DX6VC2rjIgX/,0,,1,2026-05-04T09:18:37.000Z,,iran,for_iran,ایران_امام_رضا,ایران,ایرانم,,,,,,,,,,,,,,,,,,,,Instagram
