clean_caption,formatted_time
big price hike alert commercial lpg cylinder prices have been hiked by 993 in the latest revision a massive jump that will directly hit restaurants dhabas hotels and small food businesses across india meanwhile domestic lpg cylinders remain unchanged giving household consumers a temporary sigh of relief what the numbers say commercial cylinder price up by 993 domestic cylinder no change businesses using bulk gas will feel the heat immediately food hospitality sector faces rising operational costs this hike comes at a time when small businesses are already struggling with inflation and thin margins for the average dhaba owner or street food vendor this is a direct hit to the pocket,01-05-2026 09:28
19kg commercial lpg cylinder price hiked by rs 993 domestic rates unchanged delhi rate now at rs 307150 disclaimer this post is for information and educational purposes only based on publicly available market data and news reports follow stockbullupdates for daily sm news please like share follow disclaimer this post is for information and educational purposes we are not sebi registered financial advisor please consult your financial advisor before making any finance related decisions disclaimer no copyright infringement intended we do not own the rights to this video or photo used in this reel or post all credit goes to the original creator this video or post is shared for informational purposes only if you are the owner and wish to discuss this content please dm or mail us fair use copyright disclaimer under section 107 of the copyright act 1976 allowance is made for fair use for purposes such as criticism comment news reporting teaching scholarship infringing we do not own all the material lpg cylinder 19kg commercial lpg cylinder cylinder prices hiked again commercial cylinder price hiked by rs 993 lpg cylinder,01-05-2026 02:03
prices of commercial 19kg lpg cylinders have been increased by 993 taking the price of a cylinder in to 307150 retail prices of and domestic lpg cylinders have been kept unchanged check the citywise prices of 19kg commercial lpg cylinder more on businesstodayin,01-05-2026 05:59
the price of 19 kg commercial lpg cylinders has been increased by rs 993 from today leading to a new retail price of rs 307150 per cylinder the revision comes into effect immediately and applies to commercial users across the country affecting businesses that rely heavily on lpg for daily operations the sharp increase is expected to impact sectors such as hotels restaurants food delivery services and small commercial establishments higher fuel costs may lead to increased operational expenses which could eventually be passed on to consumers businesses dependent on bulk lpg consumption are likely to reassess their budgets following the latest revision in prices however domestic lpg cylinder prices remain unchanged providing relief to household consumers the adjustment in commercial cylinder rates is part of periodic revisions linked to global fuel price movements and supply dynamics dont forget to follow mewsinsta for latest news bites and updates,01-05-2026 07:29
big breaking news commercial lpg users hit with a massive price shock starting today the price of a 19 kg commercial gas cylinder has been increased by a steep 993 this hike directly impacts restaurants hotels and small businesses and could soon reflect in food prices too relief for households there is no change in domestic lpg cylinder prices as of now stay alert this move could have a ripple effect on everyday expenses what do you think about this sudden hike fair or too much drop your thoughts below,01-05-2026 07:27
the price of 19 kg commercial lpg cylinders has seen a steep increase of rs 993 pushing the cost to rs 307150 in delhi from today according to sources domestic lpg cylinder prices however remain unchanged offering relief to household consumers meanwhile aviation turbine fuel atf prices have been kept steady with stateowned oil companies choosing to absorb rising global fuel costs to shield airlines and passengers from additional financial strain,01-05-2026 04:38
the price of a 19 kg commercial lpg cylinder has been raised by 993 with effect from may 1 marking a significant increase in cooking fuel costs for businesses following the hike the price in delhi now stands at 307150 up from 207850 earlier in mumbai commercial lpg cylinder prices have also surged rising from 2031 to 3024 meanwhile prices of domestic lpg cylinders remain unchanged according to news agency ani this latest revision marks the third increase in the price of commercial lpg cylinders since february 28 when the iran war began prices were first raised by 144 in march followed by another hike of nearly 200 on april 1 before the steep increase announced now,01-05-2026 02:39
commercial lpg cylinder prices have been increased by rs 993 with the revision coming into effect from may 1 just two days after the final phase of the fivestate assembly elections concluded in west bengal on april 29 the price of a 19kg commercial cylinder in delhi now stands at rs 307150 domestic lpg prices and aviation turbine fuel atf for local airlines remain unchanged however atf prices for international carriers have been raised by 5 per cent in line with global benchmarks retail prices of petrol and diesel have also been kept steady the price revisions have largely been limited to commercial lpg bulk diesel and fuel for international airline operations segments that account for a relatively smaller share of overall consumption click on the in our bio to read the full article,01-05-2026 08:27
flame hits the wallet the 19kg commercial lpg cylinder now costs 307150 in delhi after a steep 993 hike squeezing restaurants and small businesses how will this price surge impact everyday operations and consumer costs,01-05-2026 03:16
commercial lpg prices have seen a sharp hike from may 1 with the 19 kg commercial cylinder becoming costlier by 993 after the latest revision a 19 kg commercial lpg cylinder in delhi will now cost 307150 the price of the 5 kg free trade lpg cylinder has also been increased by 261 with immediate effect the hike applies to commercial and bulk lpg categories which are mainly used by restaurants hotels bakeries tea shops caterers and small food businesses this could raise operating costs for the food and hospitality sector with some businesses likely to pass on part of the burden to customers however there is no change in the price of the 142 kg domestic lpg cylinder used by households petrol diesel and domestic cooking gas rates have also reportedly been kept unchanged for now the steep increase has already triggered political criticism with opposition leaders questioning the timing of the hike and warning that it may indirectly hit consumers through higher food and service prices,01-05-2026 06:33
